PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,YEAR,DATE_COL,AGGR_ECO9_2015,SAMPLE_TYPE,LRBS_USE,BEDSED_COND,L_XFC_NAT,INSTRMCVR_COND,L_XCMGW,RIPVEG_COND,W1_HALL,RIPDIST_COND
9/2/2015,10854,FW08NV003,1,2008,16-Jun-08,XER,PHAB,-0.761783505,Good,-0.505465944,Good,-0.323514237,Fair,1.124259091,Medium
9/2/2015,10856,FW08NV069,1,2008,6-Aug-08,XER,PHAB,-1.551457821,Fair,-0.541705603,Fair,-0.019789969,Good,1.568181818,High
9/2/2015,10857,FW08NV003,2,2008,5-Aug-08,XER,PHAB,-0.991862939,Fair,-0.443697499,Good,-0.05169573,Good,2.583333333,High
9/2/2015,10858,FW08NV004,1,2008,9-Jul-08,XER,PHAB,-0.885059054,Good,0.26845032,Good,0.141449773,Good,0.818195455,Medium
9/2/2015,10871,FW08NV004,2,2008,7-Aug-08,XER,PHAB,-1.015632774,Fair,0.335457901,Good,0.106360909,Good,1,Medium
9/2/2015,10872,FW08NV005,1,2008,12-Jun-08,XER,PHAB,-2.457064002,Poor,-0.093006891,Good,-0.283069667,Fair,1.006966667,Medium
9/2/2015,10875,FW08NV006,1,2008,24-Jun-08,XER,PHAB,-1.499653852,Fair,-0.304200043,Good,-0.201914638,Good,0.734881818,Medium
9/2/2015,10876,FW08NV008,1,2008,15-Jul-08,XER,PHAB,-0.935329206,Good,-0.045319031,Good,0.001379652,Good,1.89395,High
9/2/2015,10885,FW08NV009,1,2008,10-Jun-08,XER,PHAB,-2.799279221,Poor,-0.375342947,Good,-0.461894902,Poor,1.5,High
9/2/2015,10886,FW08NV010,1,2008,25-Jun-08,XER,PHAB,-3.72114874,Poor,0.198886085,Good,0.011429462,Good,1.33335,Medium
9/2/2015,10887,FW08NV011,1,2008,25-Jun-08,XER,PHAB,-2.642511343,Poor,-0.34155496,Good,-0.949725729,Poor,1.477272727,Medium
9/2/2015,10888,FW08NV012,1,2008,3-Jun-08,XER,PHAB,-1.727907896,Poor,-1.082351291,Poor,-0.996069706,Poor,0,Low
9/2/2015,10889,FW08NV014,1,2008,26-Jun-08,XER,PHAB,-3.16452149,Poor,-0.031304838,Good,-0.496085569,Poor,0.909122727,Medium
9/2/2015,10890,FW08NV015,1,2008,27-Jun-08,XER,PHAB,-2.202605787,Poor,-0.668480681,Fair,-1.059121453,Poor,1.5,High
9/2/2015,10893,FW08NV019,1,2008,22-Jul-08,XER,PHAB,-1.202114124,Fair,-0.839995559,Poor,-0.369525896,Fair,1.3561,Medium
9/2/2015,10895,FW08NV019,2,2008,11-Aug-08,XER,PHAB,-0.973989881,Good,-0.83456681,Poor,-0.4081768,Fair,2.015195455,High
9/2/2015,10896,FW08NV022,1,2008,4-Jun-08,XER,PHAB,-2.556102646,Poor,-0.795880017,Poor,-0.348105528,Fair,0.969722727,Medium
9/2/2015,10897,FW08NV026,1,2008,5-Jun-08,XER,PHAB,-2.618453338,Poor,-0.489942687,Good,-0.196449778,Good,0.424254545,Medium
9/2/2015,10898,FW08NV028,1,2008,17-Jun-08,XER,PHAB,-1.72775487,Poor,0.148518525,Good,0.007728386,Good,0,Low
9/2/2015,10899,FW08NV029,1,2008,11-Jun-08,XER,PHAB,-1.258466204,Fair,0.013028839,Good,-0.048618321,Good,0.590931818,Medium
9/2/2015,10900,FW08NV031,1,2008,18-Jun-08,XER,PHAB,-2.082012353,Poor,-0.56644835,Fair,-0.112101512,Good,1.520587013,High
9/2/2015,10901,FW08NV032,1,2008,10-Jun-08,XER,PHAB,-3.372673274,Poor,-0.103874793,Good,0.257678575,Good,0.33335,Medium
9/2/2015,10918,FW08NV033,1,2008,11-Jun-08,XER,PHAB,-1.018460762,Fair,-0.600483603,Fair,-0.553900793,Poor,1.856077273,High
9/2/2015,10922,FW08NV034,1,2008,24-Jul-08,XER,PHAB,-0.757481912,Good,-1.106894235,Poor,-0.631037302,Poor,2.333354762,High
9/2/2015,10926,FW08NV035,1,2008,17-Jun-08,XER,PHAB,-3.244599952,Poor,-0.996069706,Poor,-0.167200881,Good,0.666690909,Medium
9/2/2015,10927,FW08NV037,1,2008,26-Jun-08,XER,PHAB,-0.32432381,Good,-0.184965913,Good,-0.268887616,Fair,0.5,Medium
9/2/2015,10928,FW08NV038,1,2008,3-Jun-08,XER,PHAB,-3.009556675,Poor,-0.760359317,Poor,-0.461894902,Poor,1.015163636,Medium
9/2/2015,10951,FW08NV049,1,2008,31-Jul-08,XER,PHAB,-1.964678751,Poor,0.184175028,Good,0.08522569,Good,0,Low
9/2/2015,10954,FW08NV040,1,2008,30-Jun-08,XER,PHAB,-1.445900543,Fair,-0.706938935,Fair,0.003343012,Good,0.893940909,Medium
9/2/2015,10956,FW08NV050,1,2008,22-Jul-08,XER,PHAB,-0.955563971,Good,-0.636701478,Fair,-0.030157148,Good,1.434782609,Medium
9/2/2015,10958,FW08CA044,1,2008,5-Sep-08,WMT,PHAB,-1.386281666,Poor,-1.378634852,Poor,-1.293204657,Poor,1.492427273,Medium
9/2/2015,10962,FW08NV051,1,2008,23-Jul-08,XER,PHAB,-1.986210895,Poor,-1.264046433,Poor,-0.732828272,Poor,1.722222222,High
9/2/2015,10963,FW08NV053,1,2008,24-Jun-08,XER,PHAB,-2.242544021,Poor,-0.06435535,Good,-0.194900937,Good,1.5,High
9/2/2015,10964,FW08NV054,1,2008,8-Jul-08,XER,PHAB,-1.000017231,Fair,-0.650457577,Fair,-0.144590987,Good,1.5,High
9/2/2015,10965,FW08NV056,1,2008,1-Jul-08,XER,PHAB,-0.596841471,Good,-0.53319976,Good,-0.053568206,Good,0.229175,Low
9/2/2015,10969,FW08CA059,1,2008,7-Sep-08,WMT,PHAB,0.495568961,Good,-0.766081332,Good,-0.614474972,Poor,1.159118182,Medium
9/2/2015,10971,FW08NV057,1,2008,16-Jul-08,XER,PHAB,-1.551819694,Fair,-0.907853776,Poor,-0.570100974,Poor,0.181827273,Low
9/2/2015,10973,FW08NV058,1,2008,24-Jul-08,XER,PHAB,-0.677093544,Good,-1.22184875,Poor,-0.044771577,Good,1.363636364,Medium
9/2/2015,10978,FW08NV041,1,2008,8-Jul-08,XER,PHAB,-1.485750773,Fair,-0.56644835,Fair,-2,Poor,1.5,High
9/2/2015,10979,FW08NV039,1,2008,5-Jun-08,XER,PHAB,-2.15158932,Poor,0.008212927,Good,-0.145970139,Good,0,Low
9/2/2015,10989,FW08NV062,1,2008,23-Jul-08,XER,PHAB,-0.942085584,Good,-1.160579093,Poor,0.024373703,Good,0.33335,Medium
9/2/2015,10990,FW08NV063,1,2008,10-Jul-08,XER,PHAB,-1.889744016,Poor,-2,Poor,-0.480888271,Poor,1.5,High
9/2/2015,10991,FW08NV065,1,2008,17-Jul-08,XER,PHAB,-0.153112466,Good,-0.368371778,Good,0.004809729,Good,0,Low
9/2/2015,10992,FW08NV066,1,2008,28-Jul-08,XER,PHAB,-2.013912168,Poor,-0.475544866,Good,0.21048877,Good,1.5,High
9/2/2015,10993,FW08NV069,2,2008,9-Sep-08,XER,PHAB,-1.660781873,Fair,-0.502316586,Fair,-0.198783445,Good,0,Low
9/2/2015,10994,FW08CA020,1,2008,18-Sep-08,WMT,PHAB,0.425806835,Good,-1.132907664,Good,-0.668480681,Poor,0.93185,Medium
9/2/2015,10995,FW08CA031,1,2008,15-Sep-08,XER,PHAB,0.031609517,Fair,-1.22184875,Good,-0.600483603,Poor,2.174281818,High
9/2/2015,10996,FW08CA035,1,2008,10-Sep-08,XER,PHAB,-1.01151216,Poor,-0.754711716,Good,-0.436896633,Fair,3.696972727,High
9/2/2015,10997,FW08CA040,1,2008,20-Sep-08,WMT,PHAB,0.249223467,Good,-0.976934698,Good,-0.486903525,Fair,0.886390909,Medium
9/2/2015,10998,FW08CA056,1,2008,19-Sep-08,WMT,PHAB,0.021312179,Fair,-1.837272689,Poor,-0.411983086,Fair,0.810613636,Medium
9/2/2015,10999,FW08CA061,1,2008,12-Sep-08,XER,PHAB,-0.879300179,Poor,-1.037071311,Good,-0.701941243,Poor,1.931822727,High
9/2/2015,11000,FW08CA063,1,2008,16-Sep-08,WMT,PHAB,-0.555673785,Poor,-1.160579093,Good,-0.562826189,Poor,1.295490909,Medium
9/2/2015,11001,FW08CA067,1,2008,9-Sep-08,XER,PHAB,0.258779006,Good,-0.848268086,Good,-0.663904301,Poor,4.257654545,High
9/2/2015,11002,FW08CA068,1,2008,21-Sep-08,WMT,PHAB,1.096218297,Good,-1.293204657,Fair,-0.352528117,Fair,1.568245455,High
9/2/2015,11003,FW08OR001,1,2008,14-Sep-08,WMT,PHAB,-1.799163653,Poor,-0.168653858,Good,-0.090298128,Good,1.3334,Medium
9/2/2015,11004,FW08OR002,1,2008,22-Jul-08,XER,PHAB,-3.020439045,Poor,-0.216453718,Good,-2,Poor,2.6834,High
9/2/2015,11005,FW08OR004,1,2008,23-Jul-08,WMT,PHAB,-1.369741625,Fair,-0.317116815,Good,-0.094572114,Good,1.484868182,Medium
9/2/2015,11013,FW08OR005,1,2008,21-Jul-08,WMT,PHAB,-0.758738113,Good,-0.802093205,Poor,0.003343012,Good,1.674259091,High
9/2/2015,11014,FW08OR006,1,2008,15-Sep-08,WMT,PHAB,-0.622675455,Good,-0.294369507,Good,0.152357848,Good,0.537890909,Medium
9/2/2015,11016,FW08OR008,1,2008,17-Jul-08,WMT,PHAB,-1.530460556,Fair,0.055864624,Good,0.106978572,Good,0.845274675,Medium
9/2/2015,11017,FW08OR009,1,2008,9-Jul-08,WMT,PHAB,-1.032475641,Fair,-0.46620484,Good,0.138230908,Good,0.030304545,Low
9/2/2015,11018,FW08OR010,1,2008,3-Aug-08,WMT,PHAB,-0.917173008,Good,-1.037071311,Poor,-0.858835384,Poor,0.33335,Medium
9/2/2015,11020,FW08OR015,1,2008,19-Aug-08,WMT,PHAB,0.52164651,Good,-0.474955193,Good,0.024840034,Good,1.962168182,High
9/2/2015,11021,FW08OR016,1,2008,12-Aug-08,WMT,PHAB,0.47860945,Good,-0.835316757,Good,-0.131502506,Good,1.46672,Medium
9/2/2015,11022,FW08OR016,2,2008,17-Sep-08,WMT,PHAB,0.823013724,Good,-0.380053345,Good,-0.217918456,Good,2.022795455,High
9/2/2015,11025,FW08OR019,1,2008,7-Jul-08,WMT,PHAB,0.477119299,Good,-0.789754465,Good,-0.057165506,Good,0.809561905,Medium
9/2/2015,11026,FW08OR022,1,2008,1-Aug-08,WMT,PHAB,0.205477769,Good,-0.508638306,Good,-0.163589563,Good,2.007645455,High
9/2/2015,11027,FW08OR027,1,2008,30-Sep-08,WMT,PHAB,0.075782958,Fair,-0.877039828,Good,0.03950425,Good,3.1289,High
9/2/2015,11031,FW08OR035,1,2008,8-Jul-08,WMT,PHAB,-0.038959462,Fair,-1.256062854,Fair,-0.022380305,Good,0.151522727,Low
9/2/2015,11035,FW08OR043,1,2008,11-Sep-08,WMT,PHAB,-1.222510551,Fair,-0.343727523,Good,-0.268887616,Fair,0.606090909,Medium
9/2/2015,11036,FW08OR044,1,2008,13-Aug-08,WMT,PHAB,0.615527821,Good,-0.941022138,Good,0.087652375,Good,1.62125,High
9/2/2015,11037,FW08OR047,1,2008,21-Aug-08,WMT,PHAB,-0.459532351,Good,-0.213055085,Good,0.159252651,Good,0,Low
9/2/2015,11039,FW08OR050,1,2008,13-Sep-08,WMT,PHAB,-1.024409684,Fair,-0.443697499,Good,-0.197226275,Good,0,Low
9/2/2015,11040,FW08OR045,1,2008,19-Jul-08,WMT,PHAB,-0.505980406,Good,-0.540419057,Fair,-0.164309429,Good,0,Low
9/2/2015,11041,FW08OR051,1,2008,29-Sep-08,WMT,PHAB,-0.208116255,Fair,-0.941022138,Good,-0.250052981,Good,2.386468182,High
9/2/2015,11042,FW08OR052,1,2008,20-Jul-08,WMT,PHAB,-0.5590096,Good,-0.140479617,Good,0.062752865,Good,0.33335,Medium
9/2/2015,11044,FW08OR054,1,2008,20-Aug-08,WMT,PHAB,0.259491137,Good,-1.010995384,Good,-0.09403556,Good,1.260475,Medium
9/2/2015,11045,FW08OR058,1,2008,5-Aug-08,WMT,PHAB,0.529453271,Good,-0.616511048,Good,0.092864131,Good,2.159159091,High
9/2/2015,11046,FW08OR058,2,2008,16-Sep-08,WMT,PHAB,0.475747088,Good,-0.356996206,Good,-0.173777904,Good,1.962195455,High
9/2/2015,11047,FW08OR059,1,2008,2-Aug-08,WMT,PHAB,0.889282198,Good,-0.294369507,Good,0.074134621,Good,0.727309091,Medium
9/2/2015,11051,FW08OR069,1,2008,18-Jul-08,WMT,PHAB,-1.316070405,Fair,-0.697000411,Poor,-0.403153094,Fair,0,Low
9/2/2015,11053,FW08OR060,1,2008,14-Aug-08,WMT,PHAB,0.730064444,Good,-0.941022138,Good,0.045322979,Good,0.863668182,Medium
9/2/2015,11079,FW08CO001,1,2008,11-Jul-08,XER,PHAB,-1.969721458,Poor,-0.332971785,Good,-0.42099634,Fair,1.151572727,Medium
9/2/2015,11080,FW08CO001,2,2008,5-Aug-08,XER,PHAB,-2.012949458,Poor,-0.368371778,Good,-0.286662216,Fair,1.3334,Medium
9/2/2015,11081,FW08CO003,1,2008,15-Jul-08,XER,PHAB,-2.04339965,Poor,-0.335101728,Good,-0.862415739,Poor,1.3334,Medium
9/2/2015,11082,FW08CO003,2,2008,4-Aug-08,XER,PHAB,-1.773575866,Poor,-0.404403583,Good,-0.675436962,Poor,1.3334,Medium
9/2/2015,11083,FW08CO006,1,2008,16-Jul-08,XER,PHAB,-1.648776332,Fair,-0.003567934,Good,-1.064540721,Poor,1.303095455,Medium
9/2/2015,11084,FW08CO010,1,2008,2-Jul-08,SPL,PHAB,-1.924350328,Fair,-0.855284304,Poor,-0.491470281,Good,2.590968182,High
9/2/2015,11085,FW08CO012,1,2008,30-Jun-08,WMT,PHAB,-1.462535973,Fair,-0.760359317,Poor,-0.271646218,Fair,1.584927727,High
9/2/2015,11086,FW08CO013,1,2008,28-Jul-08,SPL,PHAB,-1.426856171,Fair,-1.837272689,Poor,-0.362646748,Good,0.6667,Medium
9/2/2015,11087,FW08CO014,1,2008,18-Jun-08,SPL,PHAB,-1.766882851,Fair,-0.538283248,Fair,-0.237082841,Good,0.893981818,Medium
9/2/2015,11088,FW08CO017,1,2008,11-Sep-08,WMT,PHAB,-0.226779016,Good,-0.302216053,Good,-0.054173455,Good,0,Low
9/2/2015,11089,FW08CO019,1,2008,1-Jul-08,SPL,PHAB,-2.059627851,Fair,-0.427550863,Good,-0.265236527,Good,1.124133117,Medium
9/2/2015,11090,FW08CO020,1,2008,29-Jul-08,SPL,PHAB,-2.111216549,Fair,-0.624752178,Good,0.013028839,Good,1.3334,Medium
9/2/2015,11091,FW08CO021,1,2008,14-Jul-08,XER,PHAB,-2.551826596,Poor,-0.646066292,Fair,-0.338316358,Fair,1.269760455,Medium
9/2/2015,11093,FW08CO025,2,2008,25-Sep-08,XER,PHAB,-0.229691131,Fair,-0.144590987,Good,-0.382427842,Fair,0.575786364,Medium
9/2/2015,11094,FW08CO025,1,2008,15-Aug-08,XER,PHAB,-0.299276361,Fair,-0.46620484,Good,-0.413259297,Fair,0.7273,Medium
9/2/2015,11095,FW08CO027,1,2008,2-Sep-08,WMT,PHAB,-0.357455236,Good,-0.014655191,Good,-0.133041728,Good,0,Low
9/2/2015,11096,FW08CO031,1,2008,12-Aug-08,SPL,PHAB,-0.831101735,Good,-0.155748813,Good,-0.009580414,Good,2.492509091,High
9/2/2015,11097,FW08CO038,1,2008,17-Sep-08,WMT,PHAB,-0.345462586,Good,-0.449215928,Fair,-0.427550863,Fair,1.121268182,Medium
9/2/2015,11098,FW08CO073,1,2008,9-Jul-08,XER,PHAB,0.251389713,Good,-0.795880017,Poor,-0.494541683,Poor,0.787913636,Medium
9/2/2015,11099,FW08CO076,1,2008,30-Jul-08,SPL,PHAB,-3.022419318,Poor,-0.239646066,Good,-0.862415739,Poor,1.348490909,Medium
9/2/2015,11100,FW08CO103,1,2008,1-Oct-08,WMT,PHAB,-0.11791836,Good,-0.354756416,Good,-0.224488846,Good,0.33335,Medium
9/2/2015,11106,FW08IL006,1,2008,12-Sep-08,SAP,PHAB,0.436168829,Good,-0.499189902,Good,0.160618572,Good,1.174263636,Medium
9/2/2015,11107,FW08IL011,1,2008,24-Sep-08,TPL,PHAB,-2.024036475,Fair,0.021752952,Good,-0.620612065,Poor,1.424277273,Medium
9/2/2015,11108,FW08IL011,2,2008,7-Oct-08,TPL,PHAB,-1.431394923,Fair,-0.976934698,Fair,-0.592686366,Poor,1.111114286,Medium
9/2/2015,11109,FW08IL017,1,2008,8-Oct-08,TPL,PHAB,-0.247945266,Good,-1.256062854,Poor,-0.144590987,Good,0.075759091,Low
9/2/2015,11114,FW08IL022,1,2008,28-Sep-08,TPL,PHAB,-0.565163371,Good,-0.831877671,Good,-0.156455788,Good,1.651536364,High
9/2/2015,11117,FW08IL018,1,2008,28-Sep-08,TPL,PHAB,2.67832775,Good,-0.148741651,Good,0.025793344,Good,1.127,Medium
9/2/2015,11118,FW08IL024,1,2008,13-Sep-08,TPL,PHAB,,Not Assessed,-0.650457577,Good,0.037698073,Good,0.537890909,Medium
9/2/2015,11119,FW08IL027,1,2008,25-Sep-08,TPL,PHAB,-1.677651693,Fair,-0.949725729,Fair,-0.435549146,Fair,2.21215,High
9/2/2015,11120,FW08IL028,1,2008,11-Sep-08,TPL,PHAB,,Not Assessed,-0.483885483,Good,0.127693672,Good,0.530318182,Medium
9/2/2015,11121,FW08IL029,1,2008,10-Oct-08,TPL,PHAB,-1.199725203,Fair,0.016843484,Good,-0.133712661,Good,0.213574892,Low
9/2/2015,11123,FW08IL031,1,2008,23-Sep-08,TPL,PHAB,-1.5356893,Fair,-0.187998707,Good,-0.191819729,Good,1.015186364,Medium
9/2/2015,11124,FW08IL036,1,2008,9-Oct-08,TPL,PHAB,0.06202435,Good,-0.404403583,Good,0.022971696,Good,0.386377273,Medium
9/2/2015,11125,FW08IL038,1,2008,6-Oct-08,TPL,PHAB,-1.062060712,Good,-0.26432853,Good,-0.017214991,Good,0.030304545,Low
9/2/2015,11134,FW08VT003,1,2008,1-Jul-08,NAP,PHAB,0.445341975,Good,-0.620612065,Fair,-0.191819729,Poor,1.401559091,Medium
9/2/2015,11135,FW08VT004,1,2008,21-Aug-08,NAP,PHAB,-0.200476618,Good,-0.269805204,Good,-0.157873199,Poor,0.522745455,Medium
9/2/2015,11136,FW08VT005,1,2008,24-Jun-08,NAP,PHAB,0.302365963,Good,-0.633152719,Fair,-0.038794704,Fair,0.795468182,Medium
9/2/2015,11137,FW08VT007,1,2008,18-Aug-08,NAP,PHAB,-0.009659854,Good,-0.738196627,Poor,-0.097650919,Fair,1.257609091,Medium
9/2/2015,11138,FW08VT008,1,2008,30-Jul-08,NAP,PHAB,-0.68697295,Good,-0.515053408,Fair,0.126957455,Good,0.795486364,Medium
9/2/2015,11139,FW08TX003,1,2008,2-Jul-08,SPL,PHAB,-1.85222566,Fair,-0.308396157,Good,-0.075955785,Good,1.355385281,Medium
9/2/2015,11140,FW08TX004,1,2008,9-Jul-08,SPL,PHAB,-0.852338591,Good,-0.410456566,Good,0.143582506,Good,1.196981818,Medium
9/2/2015,11144,FW08TX010,1,2008,6-Jul-08,SPL,PHAB,0.510291663,Good,-0.563548209,Good,-0.191052831,Good,1.885984211,High
9/2/2015,11145,FW08TX011,1,2008,30-Jun-08,CPL,PHAB,-1.121035776,Good,-0.244818352,Good,0.157882419,Good,0.272736364,Low
9/2/2015,11146,FW08TX017,1,2008,5-Jul-08,SPL,PHAB,0.171627887,Good,-0.738196627,Good,0.026236032,Good,0.651540909,Medium
9/2/2015,11151,FW08TX031,1,2008,8-Jul-08,SPL,PHAB,0.121470357,Good,-0.508638306,Good,0.062752865,Good,1.227277273,Medium
9/2/2015,11153,FW08TX045,1,2008,28-Jun-08,CPL,PHAB,-2.014243922,Fair,-0.496085569,Fair,-0.086065794,Fair,0.969713636,Medium
9/2/2015,11175,FW08IN002,1,2008,30-Jul-08,TPL,PHAB,-1.683684805,Fair,-0.592686366,Good,-0.244818352,Good,1.325781818,Medium
9/2/2015,11176,FW08IN003,1,2008,7-Aug-08,TPL,PHAB,-1.9604245,Fair,-0.749136614,Good,-0.325598187,Fair,1.333340909,Medium
9/2/2015,11177,FW08IN004,1,2008,11-Aug-08,UMW,PHAB,-2.011383274,Fair,-0.862415739,Fair,-0.222013286,Good,1.1364,Medium
9/2/2015,11180,FW08IN005,1,2008,10-Aug-08,TPL,PHAB,-2.950688943,Poor,-0.884540786,Fair,-0.288576254,Good,1.765177273,High
9/2/2015,11181,FW08IN008,1,2008,1-Aug-08,SAP,PHAB,-1.604826704,Poor,-0.777756616,Fair,-0.131035128,Fair,1.878822727,High
9/2/2015,11182,FW08IN002,2,2008,5-Sep-08,TPL,PHAB,-1.354348793,Fair,-0.862415739,Fair,-0.248301085,Good,0.356068182,Medium
9/2/2015,11183,FW08IN008,2,2008,4-Sep-08,SAP,PHAB,-0.88503264,Fair,-1.160579093,Poor,-0.220644048,Poor,0.553040909,Medium
9/2/2015,11184,FW08IN009,1,2008,1-Jul-08,UMW,PHAB,-1.196994797,Fair,-1.378634852,Poor,-0.369525896,Fair,5.545472727,High
9/2/2015,11185,FW08IN011,1,2008,17-Jul-08,TPL,PHAB,0.76574731,Good,-0.68250648,Good,-0.065501549,Good,1.242459091,Medium
9/2/2015,11186,FW08IN014,1,2008,16-Jul-08,TPL,PHAB,0.22423752,Good,-0.760359317,Good,0.032234032,Good,0.318190909,Low
9/2/2015,11187,FW08IN015,1,2008,13-Jul-08,UMW,PHAB,-0.212664462,Good,-0.608423395,Good,0.018265381,Good,1.530327273,High
9/2/2015,11188,FW08IN016,1,2008,4-Aug-08,SAP,PHAB,-0.349820225,Good,-0.749136614,Fair,-0.276283188,Poor,1.750031818,High
9/2/2015,11189,FW08IN017,1,2008,10-Jul-08,UMW,PHAB,-0.699190771,Good,-0.692115158,Good,-0.064928071,Good,1.037890909,Medium
9/2/2015,11191,FW08IN020,1,2008,5-Sep-08,TPL,PHAB,-1.16461192,Fair,-0.697000411,Good,0.13858974,Good,0.2197,Low
9/2/2015,11192,FW08IN023,1,2008,8-Aug-08,TPL,PHAB,-2.076959037,Fair,-0.92412139,Fair,-0.469102078,Fair,0.939427273,Medium
9/2/2015,11193,FW08IN018,1,2008,3-Aug-08,TPL,PHAB,-1.495758299,Fair,-1.837272689,Poor,-1.402903423,Poor,0.825781818,Medium
9/2/2015,11194,FW08MI023,1,2008,13-Aug-08,UMW,PHAB,-0.973881616,Good,-0.505465944,Good,-0.097650919,Good,2.818227273,High
9/2/2015,11195,FW08IN025,1,2008,2-Jul-08,UMW,PHAB,-0.280377633,Good,-0.600483603,Good,0.018265381,Good,1.045463636,Medium
9/2/2015,11196,FW08IN028,1,2008,6-Aug-08,TPL,PHAB,-0.187385464,Good,-0.92412139,Fair,-0.121138881,Good,0.318181818,Low
9/2/2015,11197,FW08IN029,1,2008,1-Jul-08,UMW,PHAB,-1.246076512,Fair,-0.480888271,Good,-1.719173392,Poor,1.068181818,Medium
9/2/2015,11198,FW08IN030,1,2008,15-Jul-08,TPL,PHAB,-0.350097448,Good,-0.907853776,Fair,-0.132371831,Good,1.195204113,Medium
9/2/2015,11199,FW08IN033,1,2008,11-Jul-08,UMW,PHAB,-0.21535224,Good,-0.502316586,Good,-0.101998248,Good,0.492431818,Medium
9/2/2015,11200,FW08MI038,1,2008,14-Aug-08,UMW,PHAB,0.903920888,Good,-0.417110589,Good,-0.160008028,Good,1.765168182,High
9/2/2015,11201,FW08MI019,1,2008,10-Jul-08,UMW,PHAB,-0.325068732,Good,-0.133712661,Good,-0.141520093,Good,1.627014286,High
9/2/2015,11203,FW08MI024,1,2008,9-Jul-08,TPL,PHAB,0.415056814,Good,-0.55923399,Good,-0.393276728,Fair,0.878809091,Medium
9/2/2015,11205,FW08MI026,1,2008,11-Jul-08,UMW,PHAB,-1.107464982,Good,0.004321374,Good,-0.079553658,Good,0.886377273,Medium
9/2/2015,11206,FW08MI028,1,2008,1-Jul-08,TPL,PHAB,-0.887700895,Good,-0.406915415,Good,-1.911058926,Poor,0.416668182,Medium
9/2/2015,11207,FW08MI030,1,2008,11-Sep-08,UMW,PHAB,0.160167259,Good,-0.388662989,Good,0.064032335,Good,0,Low
9/2/2015,11208,FW08MI033,1,2008,12-Sep-08,UMW,PHAB,-0.576962522,Good,-0.248301085,Good,0.027627556,Good,0.454554545,Medium
9/2/2015,11210,FW08MI036,1,2008,7-Jul-08,TPL,PHAB,-0.866056225,Good,-0.877039828,Fair,-0.539991054,Poor,0.727304545,Medium
9/2/2015,11211,FW08MI037,1,2008,16-Oct-08,TPL,PHAB,,Not Assessed,-0.157163916,Good,-1.175105345,Poor,3.545490909,High
9/2/2015,11213,FW08MI041,1,2008,17-Jul-08,UMW,PHAB,-0.55093315,Good,-0.283238063,Good,0.003343012,Good,0.181827273,Low
9/2/2015,11214,FW08MI042,1,2008,14-Sep-08,UMW,PHAB,-0.443954563,Good,-0.24274204,Good,-0.121791662,Good,0.371218182,Medium
9/2/2015,11215,FW08MI044,1,2008,9-Sep-08,UMW,PHAB,-0.365263425,Good,-0.318347694,Good,-0.04258864,Good,0,Low
9/2/2015,11217,FW08MI046,1,2008,15-Sep-08,UMW,PHAB,1.343903333,Good,-0.080803004,Good,-0.024986184,Good,0.530309091,Medium
