"DATA_COLUMN"	"SAMPLE_TYPE"	"LABEL_BOATABLE"	"LABEL_WADEABLE"
"PCT_BH"	"INTERPRETATION"	"Bed Surface % Bedrock + Hardpan"	"Bed Surface % Bedrock + Hardpan"
"PCT_BIGR"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Larger than Gravel (64mm)"	"Bed Surface % Larger than Gravel (64mm)"
"PCT_DR"	"CHANNEL HABITAT"	"Percent of Reach that is Dry"	"Percent of Reach that is Dry"
"PCT_DRS"	"INTERPRETATION"	"Percent of Reach dry or submerged flow"	"Percent of Reach dry or submerged flow"
"PCT_FAST"	"CHANNEL HABITAT"	"Percent Fast Water Habitat"	"Percent Fast Water Habitat"
"PCT_FN"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Fines <0.06mm"	"Bed Surface % Fines <0.06mm"
"PCT_HP"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Hardpan"	
"PCT_SAFN"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface Percent Sand or smaller (<2.0mm)"	"Bed Surface Percent Sand or smaller (<2.0mm)"
"PCT_SFG"	"INTERPRETATION"	"Bed surface coarse gravel or smaller (<64mm) (PCT_SA + PCT_FN + PCT_GR)"	"Bed surface coarse gravel or smaller (<64mm) (PCT_SFGF + PCT_GC)"
"PCT_SFGF"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface Fine Gravel or smaller (<16mm)"	"Bed Surface Fine Gravel or smaller (<16mm)"
"PCT_SIDE"	"GENERAL"	"Percent of reach with side Channels/Bkwtrs"	"Percent of reach with side Channels/Bkwtrs"
"PCT_SLOW"	"CHANNEL HABITAT"	"Percent of reach with Pool or Glide Habitat."	"Percent of reach with Pool or Glide Habitat."
"QR1"	"INTERPRETATION"	"Riparian Quality Index (Scaled XCMGW XCdenBK W1Hall 0-1)"	"Riparian Quality Index (Scaled XCMGW XCdenBK W1Hall 0-1)"
"QRVEG1"	"INTERPRETATION"	"Riparian Veg Quality Index (Scaled XCMGW)"	"Riparian Veg Quality Index (Scaled XCMGW)"
"RDIST1"	"INTERPRETATION"	"Riparian Disturbance index (scaled W1_Hall 0-1)"	"Riparian Disturbance index (scaled W1_Hall 0-1)"
"REACHLEN"	"GENERAL"	"Sample Reach Length (m)"	"Sample Reach Length (m)"
"RP100"	"RESIDUAL POOLS"	"Mean Residual Depth at thalweg (cm)"	"Mean Residual Depth at thalweg (cm)"
"RPRAT"	"INTERPRETATION"	"Residual Depth proportion (RP100/XDepth)"	"Residual Depth proportion (RP100/XDepth)"
"SDDEPTH_CM"	"INTERPRETATION"	"Std deviation of thalweg depth (cm), converted from raw data in m"	"Std deviation of thalweg depth (cm)"
"SDWIDTH"	"CHANNEL MORPHOLOGY"	"Std Dev. of Wetted Width (m)"	"Std Dev. of Wetted Width (m)"
"SDWXD"	"CHANNEL MORPHOLOGY"	"Std Dev. of Wetted Width x Thalweg Depth (m2)"	"Std Dev. of Wetted Width x Thalweg Depth (m2)"
"SINU"	"SLOPE AND BEARING"	"Sinuosity of sample reach."	"Sinuosity of sample reach."
"V1W_MSQ"	"LARGE WOODY DEBRIS"	"Bankful Channel woody debris (m3/m2)"	"Bankful Channel woody debris (m3/m2)"
"V1WM100"	"LARGE WOODY DEBRIS"	"Bankful channel woody debris (m3/100m)"	"Bankful channel woody debris (m3/100m)"
"W1_HAG"	"HUMAN DISTURBANCE"	"Human Agricultural Influence Index(distance-wtd tally of types and presence"	"Human Agricultural Influence Index(distance-wtd tally of types and presence"
"W1_HALL"	"HUMAN DISTURBANCE"	"Human Disturbance Index(distance-wtd tally of types and presence"	"Human Disturbance Index(distance-wtd tally of types and presence"
"W1_HNOAG"	"HUMAN DISTURBANCE"	"Human Non-Agricultural Disturbance Index (distance weighted tally of types and presence)"	"Human Non-Agricultural Disturbance Index (distance weighted tally of types and presence)"
"W1H_CROP"	"HUMAN DISTURBANCE"	"Near Channel Human Dist : Row Crops (distance-wtd tally of presence"	"Near Channel Human Dist : Row Crops (distance-wtd tally of presence"
"W1H_WALL"	"HUMAN DISTURBANCE"	"Near Channel Human Dist : Walls/dikes/revetments(distance-wtd tally of presence"	"Near Channel Human Dist : Walls/dikes/revetments(distance-wtd tally of presence"
"XBKF_H"	"CHANNEL MORPHOLOGY"	"Mean Bankfull Height above wetted channel (m)"	"Mean Bankfull Height above wetted channel (m)"
"XBKF_W"	"CHANNEL MORPHOLOGY"	"Mean Bankfull Width (m)"	"Mean Bankfull Width (m)"
"XC"	"RIPARIAN VEGETATION"	"Canopy Mean Areal Cover proportion"	"Canopy Mean Areal Cover proportion"
"XCDENBK"	"CANOPY DENSIOMETER"	"Canopy Density at bank (mean percent)"	"Canopy Density at bank (mean percent)"
"XCDENMID"	"CANOPY DENSIOMETER"	"Canopy Density at mid-channel (mean percent)"	"Canopy Density at mid-channel (mean percent)"
"XCL"	"RIPARIAN VEGETATION"	"Large diameter (Dbh>0.3m) Tree Canopy Areal Cover proportion"	"Large diameter (Dbh>0.3m) Tree Canopy Areal Cover proportion"
"XCMG"	"RIPARIAN VEGETATION"	"Sum of Canopy+Mid+Ground layer areal cover proportion"	"Sum of Canopy+Mid+Ground layer areal cover proportion"
"XCMGW"	"RIPARIAN VEGETATION"	"Sum of Woody Canopy+Mid+Ground layer areal cover proportion"	"Sum of Woody Canopy+Mid+Ground layer areal cover proportion"
"XDEPTH_CM"	"INTERPRETATION"	"Mean thalweg depth (cm), converted from raw data in m"	"Mean thalweg depth (cm)"
"XEMBED"	"SUBSTRATE EMBEDDEDNESS"	"Mean streambed embeddedness (%)"	"Mean streambed embeddedness (%)"
"XFC_ALG"	"FISH COVER"	"Filamentous algae Mean areal cover"	"Filamentous algae Mean areal cover"
"XFC_AQM"	"FISH COVER"	"Aquatic macrophyte mean areal cover"	"Aquatic macrophyte mean areal cover"
"XFC_LWD"	"FISH COVER"	"Large woody debris areal cover"	"Large woody debris areal cover"
"XFC_NAT"	"FISH COVER"	"Sum of non-anthropogenic fish areal cover types"	"Sum of non-anthropogenic fish areal cover types"
"XGB"	"RIPARIAN VEGETATION"	"Barren ground layer areal cover"	"Barren ground layer areal cover"
"XGH"	"RIPARIAN VEGETATION"	"Non-woody ground layer areal cover"	"Non-woody ground layer areal cover"
"XGW"	"RIPARIAN VEGETATION"	"Woody ground layer areal cover"	"Woody ground layer areal cover"
"XINC_H"	"CHANNEL MORPHOLOGY"	"Terrace Height above water level (m)"	"Terrace Height above water level (m)"
"XSHOR2VG"	"CHANNEL CHARACTERISTICS"	"Distance (m) from shoreline to vegetation Boatable only"	
"XSLOPE"	"SLOPE AND BEARING"	"Mean Slope of water surface (%)"	"Mean Slope of water surface (%)"
"XWD_RAT"	"CHANNEL MORPHOLOGY"	"Mean Wetted Width/Thalweg Depth ratio"	"Mean Wetted Width/Thalweg Depth ratio"
"XWIDTH"	"CHANNEL MORPHOLOGY"	"Mean Wetted Width (m)"	"Mean Wetted Width (m)"
"XWXD"	"CHANNEL MORPHOLOGY"	"Mean Wetted Width x Thalweg depth (m2)"	"Mean Wetted Width x Thalweg depth (m2)"
