"DATA_COLUMN"	"SAMPLE_TYPE"	"LABEL_BOATABLE"	"LABEL_WADEABLE"
"L_RRPW3"	"INTERPRETATION"	"Log10(Effective Hydraulic Radius at Bankfull (Adjusted for wood and pool roughnesses))"	"Log10(Effective Hydraulic Radius at Bankfull (Adjusted for wood and pool roughnesses))"
"L_SHLD_PX3"	"INTERPRETATION"	"Log10(Shields parameter at bank full)"	"Log10(Shields parameter at bank full)"
"L_XSLOPE"	"INTERPRETATION"	"Log10(Mean Slope of water surface (%))"	"Log10(Mean Slope of water surface (%))"
"LDCBF_G08"	"SUBSTRATE CHARACTERIZATION"	"Log10(Streambed Critical Diameter-at Bankfull -- mm)(PRK 2008)"	"Log10(Streambed Critical Diameter-at Bankfull -- mm)(PRK 2008)"
"LDMB_BW5"	"BED STABILITY"	"Log10(Streambed Critical Diameter-at Bankfull - mm) (PRK 1999)"	"Log10(Streambed Critical Diameter-at Bankfull - mm) (PRK 1999)"
"LITSB1_FN"	"INTERPRETATION"	"Littoral Dominant % Substrate Fines (<0.06mm)"	
"LITSB1_SF"	"INTERPRETATION"	"Littoral Dominant % Substrate Sand or Fines (<2.0mm)"	
"LITSB1_SFGF"	"INTERPRETATION"	"Littoral Dominant % Substrate <16mm diameter"	
"LITSB12_FN"	"INTERPRETATION"	"Littoral Dominant or Subdominant % Substrate Fines (<0.06mm)"	
"LITSB12_SF"	"INTERPRETATION"	"Littoral Dom. or Subdom. % Substrate Sand or Fines (<2.0mm)"	
"LRBS_BW5"	"BED STABILITY"	"Log10(Relative Bed Stability (Dgm/Dcb) (PRK 1999)"	"Log10(Relative Bed Stability (Dgm/Dcb) (PRK 1999)"
"LRBS_BW6"	"BED STABILITY"	"Log10[Erod. sub. dia.]- Est. 2 split BL"	"Log10[Erod. sub. dia.]- Est. 2 split BL"
"LRBS_G08"	"BED STABILITY"	"Log10(Relative Bed Stability (Dgm/Dcb) (PRK 2008)"	"Log10(Relative Bed Stability (Dgm/Dcb) (PRK 2008)"
"LRBS_TST"	"BED STABILITY"	"Log10[Relative Bed Stability] - Fast est"	"Log10[Relative Bed Stability] - Fast est"
"LSUB_DMM"	"SUBSTRATE CHARACTERIZATION"	"Log10(Dgm--Geometric Mean Bed Surface Particle Diameter--mm))"	"Log10(Dgm--Geometric Mean Bed Surface Particle Diameter--mm))"
"LSUB_DMM_NOR"	"SUBSTRATE CHARACTERIZATION"	"Log10(Dgm--Geom.Mean Bed Surf.Part Diam,exclud Bdrk+hardpan--mm)"	"Log10(Dgm--Geom.Mean Bed Surf.Part Diam,exclud Bdrk+hardpan--mm)"
"LSUBD_SD"	"SUBSTRATE CHARACTERIZATION"	"Thalweg sub.-StDev LOG10(Diam Class mm)"	"Substrate-StDev LOG10(Diam Class mm)"
"LTEST"	"BED STABILITY"	"Log10[Erodible Substr Dia.(mm)]-Fast est"	"Log10[Erod. Substr Dia.(mm)]-Fast est"
"LTMDDIST"	"LEGACY TREES"	""	""
"LTMDDOM"	"LEGACY TREES"	""	""
"LTMDDOMN"	"LEGACY TREES"	""	""
"LTMXDBH"	"LEGACY TREES"	""	""
"LTMXHT"	"LEGACY TREES"	""	""
"LTMXSIZE"	"LEGACY TREES"	"Legacy largest tree size class (SMLX)"	"Legacy largest tree size class (SMLX)"
"LTMXSPP"	"LEGACY TREES"	"Legacy largest tree species"	"Legacy largest tree species"
"LTSPLIST"	"LEGACY TREES"	""	""
"LWDEQVOL_MSQ"	"INTERPRETATION"	"Wood Vol (m3/m2 in area fished in littoral)"	"Wood Vol (m3/m2 in area fished in reach)"
"LWDEQVOLM100"	"INTERPRETATION"	"Wood Vol (m3) per 100m channel"	"Wood Vol (m3) per 100m channel"
"MEDBK_A"	"BANK MORPHOLOGY"		"Bank Angle--Median (degrees)"
"MEDBKUN"	"BANK MORPHOLOGY"		"Undercut Distance--Median (m)"
"PCAN_C"	"RIPARIAN VEGETATION"	"Riparian Canopy Coniferous (Fract reach)"	"Riparian Canopy Coniferous (Fract reach)"
"PCAN_D"	"RIPARIAN VEGETATION"	"Riparian Canopy Deciduous (Fract. reach)"	"Riparian Canopy Deciduous (Fract. reach)"
"PCAN_E"	"RIPARIAN VEGETATION"	"Rip Canopy Broadlf evrgrn (Fract of rch)"	"Rip Canopy Broadlf evrgrn (Fract of rch)"
"PCAN_M"	"RIPARIAN VEGETATION"	"Rip Canopy Mix Conif-Decid (Fract reach)"	"Rip Canopy Mix Conif-Decid (Fract reach)"
"PCAN_N"	"RIPARIAN VEGETATION"	"Rip Canopy Absent (Fraction of reach)"	"Rip Canopy Absent (Fraction of reach)"
"PCT_BDRK"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Bedrock"	"Bed Surface % Bedrock"
"PCT_BH"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Bedrock + Hardpan"	"Bed Surface % Bedrock + Hardpan"
"PCT_BH"	"INTERPRETATION"	"Bed Surface % Bedrock + Hardpan"	"Bed Surface % Bedrock + Hardpan"
"PCT_BIGR"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Larger than Gravel (64mm)"	"Bed Surface % Larger than Gravel (64mm)"
"PCT_DR"	"CHANNEL HABITAT"	"Percent of Reach that is Dry"	"Percent of Reach that is Dry"
"PCT_DRS"	"INTERPRETATION"	"Percent of Reach dry or submerged flow"	"Percent of Reach dry or submerged flow"
"PCT_FA"	"CHANNEL HABITAT"	"Falls (% of reach)"	"Falls (% of reach)"
"PCT_FAST"	"CHANNEL HABITAT"	"Percent Fast Water Habitat"	"Percent Fast Water Habitat"
"PCT_FN"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Fines <0.06mm"	"Bed Surface % Fines <0.06mm"
"PCT_GC"	"SUBSTRATE CHARACTERIZATION"	"Substrate Coarse Gravel -- 16-64 mm (%)"	"Substrate Coarse Gravel -- 16-64 mm (%)"
"PCT_GF"	"SUBSTRATE CHARACTERIZATION"	"Substrate Fine Gravel -- 2-16 mm (%)"	"Substrate Fine Gravel -- 2-16 mm (%)"
"PCT_GL"	"CHANNEL HABITAT"	"Glide (% of reach)"	"Glide (% of reach)"
"PCT_GR"	"SUBSTRATE CHARACTERIZATION"	"Thalweg substrate Gravel -- 16-64 mm (%)"	
"PCT_HP"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface % Hardpan"	
"PCT_OM"	"SUBSTRATE CHARACTERIZATION"	"Substrate Organic detritus -- (%)"	"Substrate Organic detritus -- (%)"
"PCT_ORG"	"SUBSTRATE CHARACTERIZATION"	"Substrate Wood or Detritus -- (%)"	"Substrate Wood or Detritus -- (%)"
"PCT_OT"	"SUBSTRATE CHARACTERIZATION"	"Thalweg substrate Miscellaneous -- (%)"	"Substrate Miscellaneous -- (%)"
"PCT_OVRB"	"CHANNEL CHARACTERISTICS"	"Ability to see over bank (% reach)"	
"PCT_POOL"	"CHANNEL HABITAT"	"Pools -- All Types (% of reach)"	"Pools -- All Types (% of reach)"
"PCT_RC"	"SUBSTRATE CHARACTERIZATION"	"Substrate Concrete (%)"	"Substrate Concrete (%)"
"PCT_SA"	"SUBSTRATE CHARACTERIZATION"	"Thalweg substrate Sand -- .06-2 mm (%)"	"Substrate Sand -- .06-2 mm (%)"
"PCT_SAFN"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface Percent Sand or smaller (<2.0mm)"	"Bed Surface Percent Sand or smaller (<2.0mm)"
"PCT_SFG"	"INTERPRETATION"	"Bed surface coarse gravel or smaller (<64mm) (PCT_SA + PCT_FN + PCT_GR)"	"Bed surface coarse gravel or smaller (<64mm) (PCT_SFGF + PCT_GC)"
"PCT_SFGF"	"SUBSTRATE CHARACTERIZATION"	"Bed Surface Fine Gravel or smaller (<16mm)"	"Bed Surface Fine Gravel or smaller (<16mm)"
"PCT_SIDE"	"GENERAL"	"Percent of reach with side Channels/Bkwtrs"	"Percent of reach with side Channels/Bkwtrs"
"PCT_SLOW"	"CHANNEL HABITAT"	"Percent of reach with Pool or Glide Habitat."	"Percent of reach with Pool or Glide Habitat."
"PCT_WD"	"SUBSTRATE CHARACTERIZATION"	"Substrate Woody -- (%)"	"Substrate Woody -- (%)"
"PCTCLINOMETER"	"SLOPE AND BEARING"	"Percent of slope values based on hand held clinometer"	"Percent of slope values based on hand held clinometer"
"QR1"	"INTERPRETATION"	"Riparian Quality Index (Scaled XCMGW XCdenBK W1Hall 0-1)"	"Riparian Quality Index (Scaled XCMGW XCdenBK W1Hall 0-1)"
"QRVEG1"	"INTERPRETATION"	"Riparian Veg Quality Index (Scaled XCMGW)"	"Riparian Veg Quality Index (Scaled XCMGW)"
"QRVEG2"	"INTERPRETATION"	"Riparian Veg Quality Index (Scaled XCDENBK)"	"Riparian Veg Quality Index (Scaled XCDENBK)"
"RADJRT_RAT"	"INTERPRETATION"	"Ratio of Effective to Total Hydraulic Radii at Bankfull (RRPW3/RB3)"	"Ratio of Effective to Total Hydraulic Radii at Bankfull (RRPW3/RB3)"
"RB3"	"BED STABILITY"	"Hydraulic radius of channel at bank full"	"Hydraulic radius of channel at bank full"
"RDIST1"	"INTERPRETATION"	"Riparian Disturbance index (scaled W1_Hall 0-1)"	"Riparian Disturbance index (scaled W1_Hall 0-1)"
"REACHLEN"	"GENERAL"	"Sample Reach Length (m)"	"Sample Reach Length (m)"
"REYP3"	"BED STABILITY"	"Particle Reynolds number at bank full"	"Particle Reynolds number at bank full"
"RP100"	"RESIDUAL POOLS"	"Mean Residual Depth at thalweg (cm)"	"Mean Residual Depth at thalweg (cm)"
"RPGT50"	"RESIDUAL POOLS"	"Resid Pools >50cm deep (number/reach)"	"Resid Pools >50cm deep (number/reach)"
"RPGT75"	"RESIDUAL POOLS"	"Resid Pools >75cm deep (number/reach)"	"Resid Pools >75cm deep (number/reach)"
"RPMXDEP_CM"	"INTERPRETATION"	"Maximum residual depth in reach (cm), converted from raw data in m"	"Maximum residual depth in reach (cm)"
"RPRAT"	"INTERPRETATION"	"Residual Depth proportion (RP100/XDepth)"	"Residual Depth proportion (RP100/XDepth)"
"RPXDEP_CM"	"INTERPRETATION"	"Mean residual pool depth in reach (cm/pool), converted from raw data in m"	"Mean residual pool depth in reach (cm/pool)"
"RRPW3"	"BED STABILITY"	"Effective Hydraulic Radius at Bankfull (Adjusted for wood and pool roughnesses)"	"Effective Hydraulic Radius at Bankfull (Adjusted for wood and pool roughnesses)"
"SDDEPTH_CM"	"INTERPRETATION"	"Std deviation of thalweg depth (cm), converted from raw data in m"	"Std deviation of thalweg depth (cm)"
"SDINC_H"	"CHANNEL MORPHOLOGY"	"Channel Incision Ht.-Std. Dev. (m)"	"Channel Incision Ht.-Std. Dev. (m)"
"SDWD_RAT"	"CHANNEL MORPHOLOGY"	"Std Dev of Width/Depth Ratio (m/m)"	"Std Dev of Width/Depth Ratio (m/m)"
"SDWIDTH"	"CHANNEL MORPHOLOGY"	"Std Dev. of Wetted Width (m)"	"Std Dev. of Wetted Width (m)"
"SDWXD"	"CHANNEL MORPHOLOGY"	"Std Dev. of Wetted Width x Thalweg Depth (m2)"	"Std Dev. of Wetted Width x Thalweg Depth (m2)"
"SHLD_PX3"	"BED STABILITY"	"Shields parameter at bank full"	"Shields parameter at bank full"
"SINU"	"SLOPE AND BEARING"	"Sinuosity of sample reach."	"Sinuosity of sample reach."
"V1W_MSQ"	"LARGE WOODY DEBRIS"	"Bankful Channel woody debris (m3/m2)"	"Bankful Channel woody debris (m3/m2)"
"V1WM100"	"LARGE WOODY DEBRIS"	"Bankful channel woody debris (m3/100m)"	"Bankful channel woody debris (m3/100m)"
"V2W_MSQ"	"LARGE WOODY DEBRIS"	"LWD vol in Bkf chnl& dry (m3/m2-SMLX)"	"LWD Vol in Bkf chnl (m3/m2-SMLX)"
"V2WM100"	"LARGE WOODY DEBRIS"	"LWD vol in Bkf chnl& dry (m3/100m-SMLX)"	"LWD Vol in Bkf chnl (m3/100m-SMLX)"
"V4W_MSQ"	"LARGE WOODY DEBRIS"	"LWD vol in Bkf chnl & dry (m3/m2-LX)"	"LWD Vol in Bkf chnl (m3/m2-LX)"
"V4WM100"	"LARGE WOODY DEBRIS"	"LWD vol in Bkf chnl & dry (m3/100m-LX)"	"LWD Vol in Bkf chnl (m3/100m-LX)"
"W1_HAG"	"HUMAN DISTURBANCE"	"Human Agricultural Influence Index(distance-wtd tally of types and presence"	"Human Agricultural Influence Index(distance-wtd tally of types and presence"
"W1_HALL"	"HUMAN DISTURBANCE"	"Human Disturbance Index(distance-wtd tally of types and presence"	"Human Disturbance Index(distance-wtd tally of types and presence"
"W1_HNOAG"	"HUMAN DISTURBANCE"	"Human Non-Agricultural Disturbance Index (distance weighted tally of types and presence)"	"Human Non-Agricultural Disturbance Index (distance weighted tally of types and presence)"
"W1H_BLDG"	"HUMAN DISTURBANCE"	"Rip Dist--Buildings (ProxWt Pres)"	"Rip Dist--Buildings (ProxWt Pres)"
"W1H_CROP"	"HUMAN DISTURBANCE"	"Near Channel Human Dist : Row Crops (distance-wtd tally of presence"	"Near Channel Human Dist : Row Crops (distance-wtd tally of presence"
"W1H_LDFL"	"HUMAN DISTURBANCE"	"Rip Dist--Trash/Landfill (ProxWt Pres)"	"Rip Dist--Trash/Landfill (ProxWt Pres)"
"W1H_LOG"	"HUMAN DISTURBANCE"	"Rip Dist--Logging Activity (ProxWt Pres)"	"Rip Dist--Logging Activity (ProxWt Pres)"
"W1H_MINE"	"HUMAN DISTURBANCE"	"Rip Dist--Mining Activity (ProxWt Pres)"	"Rip Dist--Mining Activity (ProxWt Pres)"
"W1H_PARK"	"HUMAN DISTURBANCE"	"Rip Dist--Lawn/Park (ProxWt Pres)"	"Rip Dist--Lawn/Park (ProxWt Pres)"
"W1H_PIPE"	"HUMAN DISTURBANCE"	"Rip Dist--Pipes infl/effl (ProxWt Pres)"	"Rip Dist--Pipes infl/effl (ProxWt Pres)"
"W1H_PSTR"	"HUMAN DISTURBANCE"	"Rip Dist--Pasture/Hayfield (ProxWt Pres)"	"Rip Dist--Pasture/Hayfield (ProxWt Pres)"
"W1H_PVMT"	"HUMAN DISTURBANCE"	"Rip Dist--Pavement (ProxWt Pres)"	"Rip Dist--Pavement (ProxWt Pres)"
"W1H_ROAD"	"HUMAN DISTURBANCE"	"Rip Dist--Road/Railroad (ProxWt Pres)"	"Rip Dist--Road/Railroad (ProxWt Pres)"
"W1H_WALL"	"HUMAN DISTURBANCE"	"Near Channel Human Dist : Walls/dikes/revetments(distance-wtd tally of presence"	"Near Channel Human Dist : Walls/dikes/revetments(distance-wtd tally of presence"
"XBEARING"	"SLOPE AND BEARING"	"Mean Flow Direction of reach (degrees)"	"Mean Flow Direction of reach (degrees)"
"XBKA"	"BANK MORPHOLOGY"		"Bank Angle--mean (degrees)"
"XBKF_H"	"CHANNEL MORPHOLOGY"	"Mean Bankfull Height above wetted channel (m)"	"Mean Bankfull Height above wetted channel (m)"
"XBKF_W"	"CHANNEL MORPHOLOGY"	"Mean Bankfull Width (m)"	"Mean Bankfull Width (m)"
"XC"	"RIPARIAN VEGETATION"	"Canopy Mean Areal Cover proportion"	"Canopy Mean Areal Cover proportion"
"XCDENBK"	"CANOPY DENSIOMETER"	"Canopy Density at bank (mean percent)"	"Canopy Density at bank (mean percent)"
"XCDENMID"	"CANOPY DENSIOMETER"	"Canopy Density at mid-channel (mean percent)"	"Canopy Density at mid-channel (mean percent)"
"XCEMBED"	"SUBSTRATE EMBEDDEDNESS"	"Mean Embeddedness--Channel only (%)"	"Mean Embeddedness--Channel only (%)"
"XCL"	"RIPARIAN VEGETATION"	"Large diameter (Dbh>0.3m) Tree Canopy Areal Cover proportion"	"Large diameter (Dbh>0.3m) Tree Canopy Areal Cover proportion"
"XCM"	"RIPARIAN VEGETATION"	"Rip Veg Canopy+Mid Layer Cover"	"Rip Veg Canopy+Mid Layer Cover"
"XCMG"	"RIPARIAN VEGETATION"	"Sum of Canopy+Mid+Ground layer areal cover proportion"	"Sum of Canopy+Mid+Ground layer areal cover proportion"
"XCMGW"	"RIPARIAN VEGETATION"	"Sum of Woody Canopy+Mid+Ground layer areal cover proportion"	"Sum of Woody Canopy+Mid+Ground layer areal cover proportion"
"XCMW"	"RIPARIAN VEGETATION"	"Rip Veg Canopy+Mid Layer Woody Cover"	"Rip Veg Canopy+Mid Layer Woody Cover"
"XCS"	"RIPARIAN VEGETATION"	"Riparian Canopy <= 0.3m DBH (Cover)"	"Riparian Canopy <= 0.3m DBH (Cover)"
"XDEPTH_CM"	"INTERPRETATION"	"Mean thalweg depth (cm), converted from raw data in m"	"Mean thalweg depth (cm)"
"XEMBED"	"SUBSTRATE EMBEDDEDNESS"	"Mean streambed embeddedness (%)"	"Mean streambed embeddedness (%)"
"XFC_ALG"	"FISH COVER"	"Filamentous algae Mean areal cover"	"Filamentous algae Mean areal cover"
"XFC_ALL"	"FISH COVER"	"Lit. cover-sum(all) (Areal Prop)"	"Fish Cvr-All Types (Sum Areal Prop)"
"XFC_AQM"	"FISH COVER"	"Aquatic macrophyte mean areal cover"	"Aquatic macrophyte mean areal cover"
"XFC_BIG"	"FISH COVER"	"Lit. cvr-sum(LWDRCKUCBHUM Area Prop)"	"Fish Cvr-LWDRCKUCBorHUM(Sum Area Prop)"
"XFC_BRS"	"FISH COVER"	"Lit. cvr-brush&small debris (Areal Prop)"	"Fish Cvr-Brush&Small Debris (Areal Prop)"
"XFC_HUM"	"FISH COVER"	"Lit. cover-artif. structs. (Areal Prop)"	"Fish Cvr-Artif. Structs. (Areal Prop)"
"XFC_LVT"	"FISH COVER"	"Fish Cvr-Artif. Structs. (Areal Prop)"	"Fish Cvr-Artif. Structs. (Areal Prop)"
"XFC_LWD"	"FISH COVER"	"Large woody debris areal cover"	"Large woody debris areal cover"
"XFC_NAT"	"FISH COVER"	"Sum of non-anthropogenic fish areal cover types"	"Sum of non-anthropogenic fish areal cover types"
"XFC_OHV"	"FISH COVER"	"Lit. cover-overhang veg (Areal Prop)"	"Fish Cvr-Overhang Veg (Areal Prop)"
"XFC_RCK"	"FISH COVER"	"Littoral fish cvr-boulders (Areal Prop)"	"Fish Cvr-Boulders (Areal Prop)"
"XFC_UCB"	"FISH COVER"	"Lit. cover-undercut banks (Areal Prop)"	"Fish Cvr-Undercut Banks (Areal Prop)"
"XG"	"RIPARIAN VEGETATION"	"Riparian Veg Ground Layer Cover"	"Riparian Veg Ground Layer Cover"
"XGB"	"RIPARIAN VEGETATION"	"Barren ground layer areal cover"	"Barren ground layer areal cover"
"XGH"	"RIPARIAN VEGETATION"	"Non-woody ground layer areal cover"	"Non-woody ground layer areal cover"
"XGV"	"INTERPRETATION"	"Total ground layer areal cover"	"Total ground layer areal cover"
"XGW"	"RIPARIAN VEGETATION"	"Woody ground layer areal cover"	"Woody ground layer areal cover"
"XINC_H"	"CHANNEL MORPHOLOGY"	"Terrace Height above water level (m)"	"Terrace Height above water level (m)"
"XM"	"RIPARIAN VEGETATION"	"Riparian Veg Mid Layer Cover"	"Riparian Veg Mid Layer Cover"
"XMH"	"RIPARIAN VEGETATION"	"Rip Mid Layer Herbaceous (Cover)"	"Rip Mid Layer Herbaceous (Cover)"
"XMW"	"RIPARIAN VEGETATION"	"Rip Mid Layer Woody (Cover)"	"Rip Mid Layer Woody (Cover)"
"XPCAN"	"RIPARIAN VEGETATION"	"Rip Canopy Present (Fraction of reach)"	"Rip Canopy Present (Fraction of reach)"
"XPCM"	"RIPARIAN VEGETATION"	"Rip Can & MidLayer Present (Frac. reach)"	"Rip Can & MidLayer Present (Frac. reach)"
"XPCMG"	"RIPARIAN VEGETATION"	"Riparian 3-Layers Present (Fract. reach)"	"Riparian 3-Layers Present (Fract. reach)"
"XPMGW"	"RIPARIAN VEGETATION"	"Rip. mid & gnd wood Present (Frac. reach)"	"Rip. mid & gnd wood Present (Frac. reach)"
"XPMID"	"RIPARIAN VEGETATION"	"Rip MidLayer Present (Fraction of reach)"	"Rip MidLayer Present (Fraction of reach)"
"XSHOR2VG"	"CHANNEL CHARACTERISTICS"	"Distance (m) from shoreline to vegetation Boatable only"	
"XSLOPE"	"SLOPE AND BEARING"	"Mean Slope of water surface (%)"	"Mean Slope of water surface (%)"
"XSLOPE_FIELD"	"SLOPE AND BEARING"	"Reach mean channel slope according to field-based measurements"	"Reach mean channel slope according to field-based measurements"
"XSLOPE_MAP"	"SLOPE AND BEARING"	"Reach mean channel slope according to map-based calculations"	"Reach mean channel slope according to map-based calculations"
"XUN"	"BANK MORPHOLOGY"		"Undercut Distance--Mean (m)"
"XWD_RAT"	"CHANNEL MORPHOLOGY"	"Mean Wetted Width/Thalweg Depth ratio"	"Mean Wetted Width/Thalweg Depth ratio"
"XWIDTH"	"CHANNEL MORPHOLOGY"	"Mean Wetted Width (m)"	"Mean Wetted Width (m)"
"XWXD"	"CHANNEL MORPHOLOGY"	"Mean Wetted Width x Thalweg depth (m2)"	"Mean Wetted Width x Thalweg depth (m2)"
